query_id,title,Query,Narrative,Annotations
18,masks prevent coronavirus,best masks preventing infection covid-19,What types of masks should or should not be used to prevent infection by Covid-19?,0
19,alcohol sanitizer kills coronavirus,type hand sanitizer needed destroy covid-19,Studies assessing chemicals and their concentrations needed to destroy the Covid-19 virus.,0
20,coronavirus ace inhibitors,patients taking angiotensin-converting enzyme inhibitors ace increased risk covid-19,"Looking for information on interactions between  coronavirus and  angiotensin converting enzyme 2 (ACE2) receptors, risk for patients taking these medications, and recommendations for these patients.",1
21,coronavirus mortality,mortality rates overall specific populations,"Seeking  information on COVID-19 fatality rates in different countries and in different population groups based on gender, blood types, or other factors",1
22,coronavirus heart impacts,cardiac complications likely patients covid-19,"Seeking information on the types, frequency and mechanisms of cardiac complications caused by coronavirus.",1
23,coronavirus hypertension,kinds complications related covid-19 associated hypertension,seeking specific outcomes that hypertensive  (any type) patients are more/less likely to face if infected with the virus,0
24,coronavirus diabetes,kinds complications related covid-19 associated diabetes,seeking specific outcomes that diabetic (any type) patients are more/less likely to face if infected with the virus,1
25,coronavirus biomarkers,biomarkers predict severe clinical course 2019-ncov infection,"Looking for information on biomarkers that predict disease outcomes in people infected with coronavirus, specifically those that predict severe and fatal outcomes.",0
26,coronavirus early symptoms,initial symptoms covid-19,Studies of patients and the first clinical manifestations they develop upon active infection?,1
27,coronavirus asymptomatic,known infected covid-19 asymptomatic,Studies of people who are known to be infected with Covid-19 but show no symptoms?,0
28,coronavirus hydroxychloroquine,evidence value hydroxychloroquine treating covid-19,Basic science or clinical studies assessing the benefit and harms of treating Covid-19 with hydroxychloroquine.,0
29,coronavirus drug repurposing,sars-cov-2 proteins-human proteins interactions indicate potential drug targets approved drugs repurposed based information,"Seeking information about protein-protein interactions for any of the SARS-CoV-2  structural proteins that represent a promising therapeutic target,  and the drug  molecules that may inhibit the virus and the host cell receptors at entry step.",1
30,coronavirus remdesivir,remdesivir effective treatment covid-19,seeking specific information on clinical outcomes in COVID-19 patients treated with remdesivir,0
31,difference coronavirus flu,coronavirus differ seasonal flu,"Includes studies ranging from those focusing on genomic differences to global public health impacts, but must draw direct comparisons between COVID-19 and seasonal influenza.",1
32,coronavirus subtypes,sars-cov-2 subtypes,"Papers that discuss subtypes of the virus, from named subtypes to speculative subtypes based on genomic or geographic clustering.",0
33,coronavirus vaccine candidates,vaccine candidates tested covid-19,"Seeking studies that discuss possible, but specific, COVID-19 vaccines. Includes articles from those describing the mechanisms of action of specific proposed vaccines to actual clinical trials, but excluding articles that do not name a specific vaccine candidate.",1
34,coronavirus recovery,longer-term complications recover covid-19,Seeking information on the health outcomes for those that recover from the virus. Excludes studies only focusing on adverse effects related to a particular COVID-19 drug.,0
35,coronavirus public datasets,new public datasets available related covid-19,"Seeking articles that specifically release new data related to SARS-CoV-2 or COVID-19, including genomic data, patient data, public health data, etc. Articles that reference previously existing datasets are not relevant.",1
36,sars-cov-2 spike structure,protein structure sars-cov-2 spike,"Looking for studies of the structure of the spike protein on the virus using any methods, such as cryo-EM or crystallography",1
37,sars-cov-2 phylogenetic analysis,result phylogenetic analysis sars-cov-2 genome sequence,Looking for a range of studies which provide the results of phylogenetic network analysis on the SARS-CoV-2 genome,1
38,covid inflammatory response,mechanism inflammatory response pathogenesis covid-19 cases,"Looking for a range of studies which describes the inflammatory response cells and pathogenesis during the Coronavirus Disease 2019 (COVID-19) outbreak, including the mechanism of anti-inflammatory drugs, corticosteroids, and vitamin supplements",1
39,covid-19 cytokine storm,mechanism cytokine storm syndrome covid-19,Looking for studies that describes mechanism of development of cytokine storm syndrome among COVID-19 cases and the range of drugs used for the therapy of cytokine storm,1
40,coronavirus mutations,observed mutations sars-cov-2 genome often mutations occur,"Looking for studies that describes the emergence of genomic diversity of the coronavirus due to recurrent mutations which explore the potential genomic site of the mutation, mechanisms and its potential or observed clinical implications in the pathogenicity of the virus",1
41,covid-19 african-americans,impacts covid-19 among african-americans differ rest u.s. population,"Looking for studies that analyze burden of illness and death among the African-American/black racial/ethnic group. This includes potential reasons for transmission, morbidity, and mortality. This may include discussion of other minority groups, but all studies should contain specific information on the health disparities faced by African-Americans in this pandemic.",0
42,vitamin covid-19,vitamin impact covid-19 prevention treatment,"This includes studies describing possible role of Vitamin D in prevention of COVID-19, suppression of cytokine storm, clinical outcomes, and associations between Vitamin D status and COVID-19 mortality.",0
43,violence pandemic,covid-19 pandemic impacted violence society including violent crimes,"Looking for analyses and data on how the pandemic is impacting rates of violence, including domestic/family violence related to quarantine.",1
44,impact masks coronavirus transmission,much impact masks preventing spread covid-19,"Looking for studies of how masks slow SARS-CoV-2 transmission, including impact on R0. Studies can include both lab and population studies.",1
45,coronavirus mental health impact,covid-19 pandemic impacted mental health,"Includes increasing/decreasing rates of depression, anxiety, panic disorder, and other psychiatric and mental health conditions.",1
46,dexamethasone coronavirus,evidence dexamethasone treatment covid-19,"Looking for studies on the impact of dexamethasone treatment in COVID-19 patients, including health benefits as well as adverse effects. This also includes specific populations that are benefitted/harmed by dexamethasone.",0
47,covid-19 outcomes children,health outcomes children contract covid-19,Looking for studies on health outcomes in children related to COVID-19. This includes studies attempting to explain the underlying biological mechanisms for why children differ from adults in response to infection.,1
48,school reopening coronavirus,benefits risks re-opening schools midst covid-19 pandemic,"With the possibility of schools re-opening while the COVID-19 pandemic is still ongoing, this topic is looking for evidence or projections on what the potential implications of this are in terms of COVID-19 cases, hospitalizations, or deaths, as well as other benefits or harms to re-opening schools. This includes both the impact on students, teachers, families, and the wider community.",0
49,post-infection covid-19 immunity,individuals recover covid-19 show sufficient immune response including antibody levels t-cell mediated immunity prevent re-infection,"There is concern about re-infection for COVID-19, so this topic is looking for studies suggesting post-infection immunity, including post-infection antibody levels (over time) and evidence for individuals who have been infected more than once.",1
50,mrna vaccine coronavirus,known mrna vaccine sars-cov-2 virus,"Looking for studies specifically focusing on mRNA vaccines for COVID-19, including how mRNA vaccines work, why they are promising, and any results from actual clinical studies.",1
